text,condition,record_type
Fecal smear/flotation positive for Giardia cysts/trophozoites.,Parasites,Clinical Notes
My dog has diarrhea every time he gets stressed.,Digestive Issues,Owner Observation
My cat vomited part of a houseplant leaf.,Digestive Issues,Owner Observation
Saw bright red blood coating my dog's otherwise normal stool.,Digestive Issues,Owner Observation
Marked crepitus and decreased range of motion in left stifle; suspect severe OA.,Mobility Problems,Clinical Notes
My Dachshund has back problems (IVDD).,Mobility Problems,Owner Observation
Cat hasn't touched her food in over 24 hours.,Digestive Issues,Owner Observation
Culture and sensitivity results: Staphylococcus pseudintermedius sensitive to cephalexin.,Skin Irritations,Clinical Notes
My cat keeps getting tapeworms even though I treat her.,Parasites,Owner Observation
"My rabbit has white, flaky material inside the ear canals.",Ear Infections,Owner Observation
My dog's gait looks wobbly or uncoordinated.,Mobility Problems,Owner Observation
"Dog has chronic itching, mostly involving feet, face, and ears.",Skin Irritations,Owner Observation
My rabbit has maggots visible near its hind end.,Parasites,Owner Observation
My cat has recurrent ear mite infestations.,Parasites,Owner Observation
"Culture result: MRSP (Methicillin-Resistant Staph pseudintermedius). Treat based on sensitivity (e.g., chloramphenicol, doxycycline).",Ear Infections,Clinical Notes
Use caution with ivermectin in collie-type breeds; check MDR1 status if possible.,Parasites,Clinical Notes
Puppy is being treated for scabies (Sarcoptic mange).,Parasites,Owner Observation
Dog has a growth or polyp visible inside the ear canal.,Ear Infections,Owner Observation
"Acral lick dermatitis on left carpus; address underlying cause (allergy, pain, anxiety) and prevent licking (E-collar).",Skin Irritations,Clinical Notes
My dog was diagnosed with arthritis in his hips and knees.,Mobility Problems,Owner Observation
Rabbit has lost fur on its nose.,Parasites,Owner Observation
"Cat is constipated, passing very hard, dry stools.",Digestive Issues,Owner Observation
Cheyletiella mites ('walking dandruff') identified via acetate tape preparation.,Parasites,Clinical Notes
My hamster seems to have greasy fur and is losing hair on its back.,Skin Irritations,Owner Observation
"Rule out GI neoplasia (adenocarcinoma, lymphoma, leiomyosarcoma) in older patient with weight loss, vomiting, or diarrhea.",Digestive Issues,Clinical Notes
Skin scrape positive for Demodex mites; initiate ivermectin therapy.,Skin Irritations,Clinical Notes
"Dog has a persistent cough, vet is testing for heartworm.",Parasites,Owner Observation
"Dog has black spots appearing on his skin, mostly on the belly.",Skin Irritations,Owner Observation
Pediculosis (lice infestation) confirmed; treat with appropriate insecticide.,Parasites,Clinical Notes
"Marked pedal erythema and pruritus; suspect pododermatitis, possible allergic component.",Skin Irritations,Clinical Notes
My kitten has lost the fur on the bridge of her nose.,Skin Irritations,Owner Observation
"Exfoliative dermatitis; consider differentials including sebaceous adenitis, ichthyosis, lymphoma.",Skin Irritations,Clinical Notes
Babesia canis identified via PCR. Treatment options discussed (imidocarb dipropionate).,Parasites,Clinical Notes
Dog is straining to vomit (retching) without producing anything.,Digestive Issues,Owner Observation
Multiple comedones present; suggests endocrine or keratinization defect.,Skin Irritations,Clinical Notes
My rabbit has ear canker (mites).,Parasites,Owner Observation
Erythema multiforme suspected; search for potential drug reaction or infectious trigger.,Skin Irritations,Clinical Notes
Cellulitis developing secondary to puncture wound; start broad-spectrum antibiotics.,Skin Irritations,Clinical Notes
Ferret has lost significant weight recently.,Digestive Issues,Owner Observation
Salmonella ruled out via fecal culture.,Digestive Issues,Clinical Notes
"Instill long-acting ear medication (e.g., Claro, Osurnia) in clinic.",Ear Infections,Clinical Notes
Rule out Taenia vs. Dipylidium tapeworms based on history (hunting vs. fleas).,Parasites,Clinical Notes
My dog tore his cruciate ligament (CCL/ACL).,Mobility Problems,Owner Observation
Deep skin scraping negative for Demodex mites; surface scraping negative for Sarcoptes.,Skin Irritations,Clinical Notes
Patient presents with anorexia and lethargy x 48 hours. Dehydration estimated at 5%.,Digestive Issues,Clinical Notes
"Conservative management of CCL tear (rest, NSAIDs, rehab) discussed as alternative to surgery.",Mobility Problems,Clinical Notes
Pet’s ears are swollen and have a rancid odor.,Ear Infections,Owner Observation
"Cat has scabs all over her body, especially her back and neck.",Parasites,Owner Observation
Dog has generalized demodicosis.,Parasites,Owner Observation
Confine patient to safe area if experiencing severe ataxia.,Ear Infections,Clinical Notes
Discuss prognosis based on diagnosis.,Mobility Problems,Clinical Notes
My older dog is constipated and strains to defecate.,Digestive Issues,Owner Observation
"Discontinue potentially offending medication (e.g., new antibiotic) and monitor for resolution of GI signs.",Digestive Issues,Clinical Notes
Dog ate something from the trash and now has explosive diarrhea.,Digestive Issues,Owner Observation
Noticed bright red blood streaks in my cat's poop.,Digestive Issues,Owner Observation
"Puppy has developed a circular, hairless lesion on its head.",Skin Irritations,Owner Observation
Cat developed a sudden head tilt overnight.,Ear Infections,Owner Observation
My rabbit has pus coming from its eye on the same side as the ear problem.,Ear Infections,Owner Observation
Evaluate conformation of ear canal (stenotic breeds).,Ear Infections,Clinical Notes
Cat seems painful in her abdomen when I pick her up.,Digestive Issues,Owner Observation
Zinc-responsive dermatosis suspected in husky; recommend zinc supplementation.,Skin Irritations,Clinical Notes
My cat has developed bald patches behind her ears.,Skin Irritations,Owner Observation
Rabbit has matted fur on its hind end with irritated skin underneath.,Skin Irritations,Owner Observation
My hamster has developed a lump under its skin.,Skin Irritations,Owner Observation
Cat has excessive flatulence and occasional vomiting.,Digestive Issues,Owner Observation
Fecal flotation positive for Trichuris vulpis (whipworm) eggs.,Parasites,Clinical Notes
My cat has roundworms visible in her stool.,Parasites,Owner Observation
Histoplasmosis can cause chronic large bowel diarrhea.,Digestive Issues,Clinical Notes
"Advise thorough environmental decontamination for fleas (vacuuming, washing bedding, IGR premise spray).",Parasites,Clinical Notes
"Dog is scratching himself raw, especially on his chest and belly.",Parasites,Owner Observation
History of dietary indiscretion (garbage ingestion).,Digestive Issues,Clinical Notes
"Suspect otitis media/interna AS based on persistent head tilt, nystagmus, and pain on bulla palpation.",Ear Infections,Clinical Notes
Toxoplasma antibody titer elevated; discuss zoonotic risk and treatment options if clinical signs present.,Parasites,Clinical Notes
Rabbit has urine staining on its hind legs from poor posture.,Mobility Problems,Owner Observation
Recommend bathing pet prior to applying topical ectoparasiticides if coat is dirty.,Parasites,Clinical Notes
End-stage otitis; recommend total ear canal ablation and bulla osteotomy (TECA-BO).,Ear Infections,Clinical Notes
Cat has sores inside her mouth and drools excessively.,Skin Irritations,Owner Observation
Rabbit has redness and hair loss on the soles of its back feet.,Skin Irritations,Owner Observation
"Dog seems to have abdominal cramps (stretching, looking at belly).",Digestive Issues,Owner Observation
Trixacarus caviae (guinea pig mite) infestation; treat with ivermectin/selamectin.,Parasites,Clinical Notes
My hamster's droppings are strung together with hair.,Digestive Issues,Owner Observation
Otitis externa is often a secondary problem; identifying the primary trigger is key to management.,Ear Infections,Clinical Notes
Chronic diarrhea; trial hydrolyzed diet.,Digestive Issues,Clinical Notes
Bloodwork (CBC/Chem) within normal limits.,Digestive Issues,Clinical Notes
Rabbit has arthritis in its spine (spondylosis).,Mobility Problems,Owner Observation
Check for concurrent skin condition.,Ear Infections,Clinical Notes
My puppy ate a sock yesterday and is now vomiting.,Digestive Issues,Owner Observation
Provide handout on flea control.,Parasites,Clinical Notes
My dog has trouble balancing.,Mobility Problems,Owner Observation
"Educate owner on signs of IVDD progression (worsening weakness, loss of bladder control, loss of deep pain).",Mobility Problems,Clinical Notes
"Ferret has thick, dark wax in both ears.",Ear Infections,Owner Observation
My dog has elbow dysplasia.,Mobility Problems,Owner Observation
Gradual return to activity protocol provided.,Mobility Problems,Clinical Notes
"Initiate treatment for sarcoptic mange (e.g., selamectin, ivermectin, isoxazoline).",Parasites,Clinical Notes
"Dog had sudden onset of profuse, watery diarrhea overnight.",Digestive Issues,Owner Observation
My cat won't let me clean her ears.,Ear Infections,Owner Observation
Microscopic exam of ear debris confirms presence of Otodectes cynotis mites and eggs.,Ear Infections,Clinical Notes
Deep ear flush performed using video otoscope and specialized flushing/suction equipment.,Ear Infections,Clinical Notes
Cat has scaly skin on her back.,Skin Irritations,Owner Observation
"Initiate multimodal pain management: NSAID (e.g., firocoxib) + gabapentin.",Mobility Problems,Clinical Notes
Deep skin scrape positive for Demodex canis mites.,Parasites,Clinical Notes
Cat has hypertrophic osteodystrophy.,Mobility Problems,Owner Observation
Giardia cysts confirmed; start panacur.,Parasites,Clinical Notes
Fecal flotation via centrifugation positive for Toxocara cati eggs (+++).,Parasites,Clinical Notes
My cat's skin twitches along her back and she suddenly runs off.,Skin Irritations,Owner Observation
Cat's ear canal looks extremely narrow and difficult to see into.,Ear Infections,Owner Observation
Cat is shaking her head and scratching furiously behind her ears; they look dirty inside.,Parasites,Owner Observation
Elbow radiographs confirm fragmented medial coronoid process (FCP). Arthroscopy recommended.,Mobility Problems,Clinical Notes
Monitor urine output (>1-2 ml/kg/hr) as indicator of adequate perfusion and hydration.,Digestive Issues,Clinical Notes
My dog's limp improves with exercise but returns after rest.,Mobility Problems,Owner Observation
My ferret's ear wax smells strangely sweet.,Ear Infections,Owner Observation
My dog's ear has a distinct 'corn chip' or 'yeasty bread' smell.,Ear Infections,Owner Observation
"My cat has dark ear wax, but the vet ruled out mites.",Ear Infections,Owner Observation
My dog has developed dark spots on his belly skin.,Skin Irritations,Owner Observation
"My rabbit has a dirty bottom from soft, pasty stools.",Digestive Issues,Owner Observation
My dog sits down awkwardly ('puppy sitting') with one leg out.,Mobility Problems,Owner Observation
My rabbit has diarrhea after being introduced to new vegetables.,Digestive Issues,Owner Observation
